INFO  2021-09-05 23:48:57,060 MappingDataService::? - GetWardTypeMappingListWithModel : MethodFinish
INFO  2021-09-05 23:48:58,758 MappingDataService::? - GetWardTypeMappingData : MethodStart
INFO  2021-09-05 23:48:58,870 MappingDataService::? - GetWardTypeMappingData : MethodFinish
INFO  2021-09-05 23:48:59,838 MappingDataService::? - GetWardTypeMappingDataWithModel : MethodStart
INFO  2021-09-05 23:48:59,953 MappingDataService::? - GetWardTypeMappingDataWithModel : MethodFinish
INFO  2021-09-05 23:49:00,004 MappingDataService::? - SaveWardTypeMappingData : MethodStart
INFO  2021-09-05 23:49:00,300 MappingDataService::? - SaveWardTypeMappingData : MethodFinish
INFO  2021-09-05 23:49:00,539 MappingDataService::? - GetMappingDataById : MethodStart
INFO  2021-09-05 23:49:00,654 MappingDataService::? - GetMappingDataById : MethodFinish
INFO  2021-09-05 23:49:00,731 MappingDataService::? - GetWHONetMappingListWithModel : MethodStart
INFO  2021-09-05 23:49:00,844 MappingDataService::? - GetWHONetMappingListWithModel : MethodFinish
INFO  2021-09-05 23:49:00,877 MappingDataService::? - GetSpecimenMappingListWithModel : MethodStart
INFO  2021-09-05 23:49:00,998 MappingDataService::? - GetSpecimenMappingListWithModel : MethodFinish
INFO  2021-09-05 23:49:01,034 MappingDataService::? - GetOrganismMappingListWithModel : MethodStart
INFO  2021-09-05 23:49:01,167 MappingDataService::? - GetOrganismMappingListWithModel : MethodFinish
INFO  2021-09-05 23:49:01,207 MappingDataService::? - GetWardTypeMappingListWithModel : MethodStart
INFO  2021-09-05 23:49:01,322 MappingDataService::? - GetWardTypeMappingListWithModel : MethodFinish
INFO  2021-09-05 23:49:02,396 MappingDataService::? - GetWardTypeMappingData : MethodStart
INFO  2021-09-05 23:49:02,505 MappingDataService::? - GetWardTypeMappingData : MethodFinish
INFO  2021-09-05 23:49:03,417 MappingDataService::? - GetWardTypeMappingDataWithModel : MethodStart
INFO  2021-09-05 23:49:03,527 MappingDataService::? - GetWardTypeMappingDataWithModel : MethodFinish
INFO  2021-09-05 23:49:03,607 MappingDataService::? - SaveWardTypeMappingData : MethodStart
INFO  2021-09-05 23:49:03,872 MappingDataService::? - SaveWardTypeMappingData : MethodFinish
INFO  2021-09-05 23:49:04,094 MappingDataService::? - GetMappingDataById : MethodStart
INFO  2021-09-05 23:49:04,206 MappingDataService::? - GetMappingDataById : MethodFinish
INFO  2021-09-05 23:49:04,259 MappingDataService::? - GetWHONetMappingListWithModel : MethodStart
INFO  2021-09-05 23:49:04,382 MappingDataService::? - GetWHONetMappingListWithModel : MethodFinish
INFO  2021-09-05 23:49:04,412 MappingDataService::? - GetSpecimenMappingListWithModel : MethodStart
INFO  2021-09-05 23:49:04,534 MappingDataService::? - GetSpecimenMappingListWithModel : MethodFinish
INFO  2021-09-05 23:49:04,616 MappingDataService::? - GetOrganismMappingListWithModel : MethodStart
INFO  2021-09-05 23:49:04,768 MappingDataService::? - GetOrganismMappingListWithModel : MethodFinish
INFO  2021-09-05 23:49:04,838 MappingDataService::? - GetWardTypeMappingListWithModel : MethodStart
INFO  2021-09-05 23:49:04,951 MappingDataService::? - GetWardTypeMappingListWithModel : MethodFinish
INFO  2021-09-05 23:49:06,753 MappingDataService::? - GetWardTypeMappingData : MethodStart
INFO  2021-09-05 23:49:06,861 MappingDataService::? - GetWardTypeMappingData : MethodFinish
INFO  2021-09-05 23:49:07,576 MappingDataService::? - GetWardTypeMappingDataWithModel : MethodStart
INFO  2021-09-05 23:49:07,688 MappingDataService::? - GetWardTypeMappingDataWithModel : MethodFinish
INFO  2021-09-05 23:49:07,738 MappingDataService::? - SaveWardTypeMappingData : MethodStart
INFO  2021-09-05 23:49:08,007 MappingDataService::? - SaveWardTypeMappingData : MethodFinish
INFO  2021-09-05 23:49:08,205 MappingDataService::? - GetMappingDataById : MethodStart
INFO  2021-09-05 23:49:08,312 MappingDataService::? - GetMappingDataById : MethodFinish
