INFO  2021-09-11 14:29:11,963 WHONETService::? - Get_TCWHONET_Departments_List : MethodFinish
INFO  2021-09-11 14:29:11,997 WHONETService::? - Get_TCWHONET_Specimen_List : MethodStart
INFO  2021-09-11 14:29:12,067 WHONETService::? - Get_TCWHONET_Specimen_List : MethodFinish
INFO  2021-09-11 14:29:12,101 WHONETService::? - Get_TCWHONET_Column_List : MethodStart
INFO  2021-09-11 14:29:12,151 WHONETService::? - Get_TCWHONET_Column_List : MethodFinish
INFO  2021-09-11 14:29:12,189 LogProcessService::? - GetLogProcessListWithModel : MethodStart
INFO  2021-09-11 14:29:12,309 LogProcessService::? - GetLogProcessListWithModel : MethodFinish
INFO  2021-09-11 14:29:14,468 TBConfigService::? - GetTBConfig : MethodStart
INFO  2021-09-11 14:29:14,581 TBConfigService::? - GetTBConfig : MethodFinish
INFO  2021-09-11 14:29:15,985 TBConfigService::? - GetTBConfig : MethodStart
INFO  2021-09-11 14:29:16,094 TBConfigService::? - GetTBConfig : MethodFinish
INFO  2021-09-11 14:29:16,291 WHONETService::? - Get_TCWHONET_Antibiotic_List : MethodStart
INFO  2021-09-11 14:29:16,334 WHONETService::? - Get_TCWHONET_Antibiotic_List : MethodFinish
INFO  2021-09-11 14:29:16,360 WHONETService::? - Get_TCWHONET_AntibioticSpecies_List : MethodStart
INFO  2021-09-11 14:29:16,451 WHONETService::? - Get_TCWHONET_AntibioticSpecies_List : MethodFinish
INFO  2021-09-11 14:29:16,482 WHONETService::? - Get_TCWHONET_Departments_List : MethodStart
INFO  2021-09-11 14:29:16,519 WHONETService::? - Get_TCWHONET_Departments_List : MethodFinish
INFO  2021-09-11 14:29:16,537 WHONETService::? - Get_TCWHONET_Specimen_List : MethodStart
INFO  2021-09-11 14:29:16,576 WHONETService::? - Get_TCWHONET_Specimen_List : MethodFinish
INFO  2021-09-11 14:29:16,594 WHONETService::? - Get_TCWHONET_Column_List : MethodStart
INFO  2021-09-11 14:29:16,641 WHONETService::? - Get_TCWHONET_Column_List : MethodFinish
INFO  2021-09-11 14:29:16,678 LogProcessService::? - GetLogProcessListWithModel : MethodStart
INFO  2021-09-11 14:29:16,782 LogProcessService::? - GetLogProcessListWithModel : MethodFinish
INFO  2021-09-11 14:34:47,945 TBConfigService::? - GetTBConfig : MethodStart
INFO  2021-09-11 14:34:48,058 TBConfigService::? - GetTBConfig : MethodFinish
INFO  2021-09-11 14:34:59,166 TBConfigService::? - GetTBConfig : MethodStart
INFO  2021-09-11 14:34:59,274 TBConfigService::? - GetTBConfig : MethodFinish
INFO  2021-09-11 14:35:00,758 WHONETService::? - Get_TCWHONET_Antibiotics_Acitve_List : MethodStart
INFO  2021-09-11 14:35:00,760 TCWHONET_AntibioticsDAC::? - GetList_Active : MethodStart
INFO  2021-09-11 14:35:00,885 TCWHONET_AntibioticsDAC::? - GetList_Active : MethodFinish
INFO  2021-09-11 14:35:00,887 WHONETService::? - Get_TCWHONET_Antibiotics_Acitve_List : MethodFinish
INFO  2021-09-11 14:36:05,879 TBConfigService::? - GetTBConfig : MethodStart
INFO  2021-09-11 14:36:05,990 TBConfigService::? - GetTBConfig : MethodFinish
INFO  2021-09-11 14:36:07,207 TBConfigService::? - GetTBConfig : MethodStart
INFO  2021-09-11 14:36:07,316 TBConfigService::? - GetTBConfig : MethodFinish
INFO  2021-09-11 14:36:07,475 WHONETService::? - Get_TCWHONET_Antibiotic_List : MethodStart
INFO  2021-09-11 14:36:07,520 WHONETService::? - Get_TCWHONET_Antibiotic_List : MethodFinish
INFO  2021-09-11 14:36:07,542 WHONETService::? - Get_TCWHONET_AntibioticSpecies_List : MethodStart
INFO  2021-09-11 14:36:07,596 WHONETService::? - Get_TCWHONET_AntibioticSpecies_List : MethodFinish
INFO  2021-09-11 14:36:07,630 WHONETService::? - Get_TCWHONET_Departments_List : MethodStart
INFO  2021-09-11 14:36:07,668 WHONETService::? - Get_TCWHONET_Departments_List : MethodFinish
INFO  2021-09-11 14:36:07,683 WHONETService::? - Get_TCWHONET_Specimen_List : MethodStart
INFO  2021-09-11 14:36:07,722 WHONETService::? - Get_TCWHONET_Specimen_List : MethodFinish
INFO  2021-09-11 14:36:07,739 WHONETService::? - Get_TCWHONET_Column_List : MethodStart
INFO  2021-09-11 14:36:07,788 WHONETService::? - Get_TCWHONET_Column_List : MethodFinish
INFO  2021-09-11 14:36:07,820 LogProcessService::? - GetLogProcessListWithModel : MethodStart
INFO  2021-09-11 14:36:07,926 LogProcessService::? - GetLogProcessListWithModel : MethodFinish
INFO  2021-09-11 14:54:19,289 TRNoticeMessageService::? - GetListWithModelByRole : MethodStart
INFO  2021-09-11 14:54:20,438 TRNoticeMessageService::? - GetListWithModelByRole : MethodFinish
INFO  2021-09-11 14:54:44,208 TBConfigService::? - GetTBConfig : MethodStart
INFO  2021-09-11 14:54:44,573 TBConfigService::? - GetTBConfig : MethodFinish
INFO  2021-09-11 14:54:58,439 TBConfigService::? - GetTBConfig : MethodStart
INFO  2021-09-11 14:54:58,577 TBConfigService::? - GetTBConfig : MethodFinish
INFO  2021-09-11 14:54:58,842 WHONETService::? - Get_TCWHONET_Antibiotic_List : MethodStart
INFO  2021-09-11 14:54:58,942 WHONETService::? - Get_TCWHONET_Antibiotic_List : MethodFinish
INFO  2021-09-11 14:54:58,990 WHONETService::? - Get_TCWHONET_AntibioticSpecies_List : MethodStart
INFO  2021-09-11 14:54:59,117 WHONETService::? - Get_TCWHONET_AntibioticSpecies_List : MethodFinish
INFO  2021-09-11 14:54:59,184 WHONETService::? - Get_TCWHONET_Departments_List : MethodStart
INFO  2021-09-11 14:54:59,235 WHONETService::? - Get_TCWHONET_Departments_List : MethodFinish
INFO  2021-09-11 14:54:59,265 WHONETService::? - Get_TCWHONET_Specimen_List : MethodStart
INFO  2021-09-11 14:54:59,317 WHONETService::? - Get_TCWHONET_Specimen_List : MethodFinish
INFO  2021-09-11 14:54:59,350 WHONETService::? - Get_TCWHONET_Column_List : MethodStart
INFO  2021-09-11 14:54:59,405 WHONETService::? - Get_TCWHONET_Column_List : MethodFinish
INFO  2021-09-11 14:54:59,444 LogProcessService::? - GetLogProcessListWithModel : MethodStart
INFO  2021-09-11 14:54:59,590 LogProcessService::? - GetLogProcessListWithModel : MethodFinish
INFO  2021-09-11 14:56:29,301 TBConfigService::? - GetTBConfig : MethodStart
INFO  2021-09-11 14:56:29,412 TBConfigService::? - GetTBConfig : MethodFinish
INFO  2021-09-11 15:38:56,061 TRNoticeMessageService::? - GetListWithModelByRole : MethodStart
INFO  2021-09-11 15:38:57,169 TRNoticeMessageService::? - GetListWithModelByRole : MethodFinish
INFO  2021-09-11 15:39:20,726 TBConfigService::? - GetTBConfig : MethodStart
INFO  2021-09-11 15:39:21,020 TBConfigService::? - GetTBConfig : MethodFinish
INFO  2021-09-11 15:40:02,165 TBConfigService::? - GetTBConfig : MethodStart
